mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
0.0433748722076416,0.001081905269745532,0.0072362422943115234,0.00010109273887267774,,gini,,,8,40,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 40, 'splitter': 'random'}",0.5178197064989518,0.5114254624591947,0.5906183368869936,0.5417515274949084,0.5316718587746625,0.5386573784229421,0.028050305759500693,1234,0.7859469520707306,0.7910656119125175,0.821312238250349,0.7906002791996277,0.7900372439478585,0.7957924650762166,0.012888890211689177,305
0.49290027618408205,0.011717731428964026,0.007482767105102539,0.0002554686393047406,,gini,,,8,50,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 50, 'splitter': 'best'}",0.591937069813176,0.5430597771023303,0.6088631984585742,0.5984251968503937,0.5675675675675675,0.5819705619584084,0.023726759625858396,318,0.8068869241507678,0.790134946486738,0.8110749185667753,0.8101442531409958,0.8063314711359404,0.8049145026962435,0.007610972882826274,145
0.04191956520080566,0.0009561374636455753,0.007365226745605469,0.00015127518873416388,,gini,,,8,50,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 50, 'splitter': 'random'}",0.5361256544502618,0.5846153846153846,0.5942173479561316,0.587737843551797,0.5622406639004149,0.572987378894798,0.021343743454117728,477,0.7938576081898557,0.811540251279665,0.8106095858538855,0.8185202419730107,0.8035381750465549,0.8076131724685943,0.008356862556656278,104
0.49555144309997556,0.012656764271604642,0.007559061050415039,0.0002552590412538153,,gini,,,10,10,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 10, 'splitter': 'best'}",0.5801980198019802,0.5250255362614913,0.5515873015873016,0.5577299412915852,0.535819430814524,0.5500720459513764,0.018968280612727127,977,0.8026989297347603,0.783620288506282,0.7896696137738483,0.7896696137738483,0.7797951582867784,0.7890907208151033,0.007774145566939131,466
0.04681873321533203,0.0028217860281135256,0.0072268486022949215,0.00023732710865649397,,gini,,,10,10,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 10, 'splitter': 'random'}",0.5160599571734475,0.5237592397043295,0.5653061224489796,0.5271794871794871,0.5261044176706827,0.5316818448353853,0.01725561942939216,1382,0.7896696137738483,0.790134946486738,0.801768264308981,0.7854816193578409,0.7802607076350093,0.7894630303124834,0.007105593678650572,458
0.49047188758850097,0.010516113692311225,0.007389450073242187,9.527125277092529e-05,,gini,,,10,20,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 20, 'splitter': 'best'}",0.5801980198019802,0.5250255362614913,0.5515873015873016,0.5577299412915852,0.535819430814524,0.5500720459513764,0.018968280612727127,977,0.8026989297347603,0.783620288506282,0.7896696137738483,0.7896696137738483,0.7797951582867784,0.7890907208151033,0.007774145566939131,466
0.04630045890808106,0.001801286244531366,0.007846307754516602,0.0005895226014385834,,gini,,,10,20,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 20, 'splitter': 'random'}",0.5160599571734475,0.5237592397043295,0.5653061224489796,0.5271794871794871,0.5261044176706827,0.5316818448353853,0.01725561942939216,1382,0.7896696137738483,0.790134946486738,0.801768264308981,0.7854816193578409,0.7802607076350093,0.7894630303124834,0.007105593678650572,458
0.49106221199035643,0.007322664338683462,0.007779216766357422,0.00012319857385247038,,gini,,,10,30,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 30, 'splitter': 'best'}",0.5896414342629482,0.5201612903225806,0.576171875,0.5795121951219512,0.5652600588812562,0.5661493707177472,0.024275860980537665,623,0.808282922289437,0.7785016286644951,0.7980456026058632,0.7994416007445323,0.7937616387337058,0.7956066786076066,0.00977066054716181,312
0.043451690673828126,0.0006860519300593711,0.007784414291381836,0.0005207597832456023,,gini,,,10,30,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 30, 'splitter': 'random'}",0.5047318611987381,0.5286624203821656,0.5817452357071213,0.569402228976697,0.5552115583075335,0.5479506609144511,0.02791008620695262,1019,0.7808282922289437,0.793392275476966,0.8059562587249883,0.8022335970218707,0.7993482309124768,0.7963517308730491,0.008781319271229472,294
0.48403186798095704,0.012051945156044826,0.007673788070678711,0.00023941335097330959,,gini,,,10,40,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 40, 'splitter': 'best'}",0.5949119373776908,0.5178389398572885,0.6003937007874016,0.5691382765531062,0.572289156626506,0.5709144022403987,0.029212873924860685,517,0.8073522568636575,0.7798976268031642,0.8110749185667753,0.799906933457422,0.8016759776536313,0.7999815426689301,0.010803987870284124,225
0.0432220458984375,0.0007070338655605859,0.008988332748413087,0.001915863019501134,,gini,,,10,40,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 40, 'splitter': 'random'}",0.5450733752620545,0.5494736842105263,0.5702127659574469,0.5688622754491018,0.5300713557594292,0.5527386913277118,0.01515611225025677,919,0.7980456026058632,0.8008375988832015,0.8120055839925546,0.7989762680316427,0.7853817504655494,0.7990493607957623,0.008472047688451324,245
0.48387417793273924,0.01648943144953425,0.009084463119506836,0.0011777167549802555,,gini,,,10,50,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 50, 'splitter': 'best'}",0.5984095427435387,0.545273631840796,0.611328125,0.5978578383641675,0.5720122574055159,0.5849762790708037,0.023601580376806375,266,0.8120055839925546,0.7873429502093997,0.814797580269893,0.8078175895765473,0.8049348230912476,0.8053797054279285,0.009633943860338641,135
0.0419036865234375,0.001433029869890575,0.0073909759521484375,0.00016373028567067256,,gini,,,10,50,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 50, 'splitter': 'random'}",0.5282215122470714,0.5622406639004149,0.5852090032154341,0.5688259109311741,0.5137420718816068,0.5516478324351402,0.026530306459245433,938,0.7938576081898557,0.8036295951605398,0.8199162401116799,0.801768264308981,0.7858472998137802,0.8010038015169674,0.011366152842232403,199
0.09375495910644531,0.0030859785883522017,0.007741022109985352,0.00032798409182726923,,gini,,sqrt,2,10,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'best'}",0.5257836198179979,0.4775224775224775,0.5553398058252427,0.5005065856129686,0.5095285857572718,0.5137362149071917,0.026000618269788587,1675,0.7817589576547231,0.7566309911586785,0.78687761749651,0.7705909725453699,0.7723463687150838,0.773640981514073,0.010406040723068504,837
